Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,10-14 years,14-Oct,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,20-24 years,20-24,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,30-34 years,30-34,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,35-39 years,35-39,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,40-44 years,40-44,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,45-49 years,45-49,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,75-79 years,75-79,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,80-84 years,80-84,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,20-24 years,20-24,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,25-29 years,25-29,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,30-34 years,30-34,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,35-39 years,35-39,21,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,40-44 years,40-44,24,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,45-49 years,45-49,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,50-54 years,50-54,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,95-99 years,95-99,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Aug., 2004",2004/08,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,25-29 years,25-29,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Sep., 2004",2004/09,30-34 years,30-34,10,Not Applicable,Not Applicable
