"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Census Division","Census Division Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","1","Division 1: New England","CENS-D1","1999","1999",0,166332,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2000","2000",0,166766,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2001","2001",0,170976,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2002","2002",0,167980,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2003","2003",0,167816,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2004","2004",Suppressed,166456,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2005","2005",0,161911,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2006","2006",0,161493,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2007","2007",0,162528,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2008","2008",Suppressed,159788,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2009","2009",Suppressed,154638,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2010","2010",0,152547,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2011","2011",Suppressed,153390,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2012","2012",0,150908,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2013","2013",0,153374,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2014","2014",0,152245,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2015","2015",Suppressed,152292,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2016","2016",0,150186,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2017","2017",Suppressed,148530,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2018","2018",0,146715,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2019","2019",0,145600,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2020","2020",Suppressed,143118,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","1999","1999",0,494129,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2000","2000",0,495620,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2001","2001",0,509448,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2002","2002",0,500379,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2003","2003",0,503031,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2004","2004",0,502959,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2005","2005",Suppressed,488526,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2006","2006",Suppressed,487191,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2007","2007",0,498648,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2008","2008",Suppressed,497833,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2009","2009",0,487475,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2010","2010",0,478408,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2011","2011",Suppressed,489769,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2012","2012",Suppressed,480702,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2013","2013",Suppressed,487035,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2014","2014",Suppressed,485846,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2015","2015",Suppressed,484040,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2016","2016",Suppressed,476454,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2017","2017",Suppressed,474914,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2018","2018",Suppressed,463693,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2019","2019",Suppressed,458101,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2020","2020",Suppressed,453533,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","1999","1999",Suppressed,601633,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2000","2000",0,605020,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2001","2001",Suppressed,625100,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2002","2002",0,605169,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2003","2003",Suppressed,603296,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2004","2004",0,608531,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2005","2005",Suppressed,594433,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2006","2006",Suppressed,596905,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2007","2007",0,603996,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2008","2008",Suppressed,593113,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2009","2009",Suppressed,578934,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2010","2010",0,570022,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2011","2011",Suppressed,571733,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2012","2012",Suppressed,556664,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2013","2013",Suppressed,556371,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2014","2014",0,555705,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2015","2015",Suppressed,559001,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2016","2016",Suppressed,554902,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2017","2017",Suppressed,550064,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2018","2018",Suppressed,537053,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2019","2019",Suppressed,529950,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2020","2020",Suppressed,523426,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","1999","1999",0,252129,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2000","2000",0,254587,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2001","2001",0,262020,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2002","2002",0,258929,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2003","2003",0,263609,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2004","2004",Suppressed,268368,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2005","2005",0,267374,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2006","2006",Suppressed,273745,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2007","2007",0,282089,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2008","2008",0,280392,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2009","2009",0,275191,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2010","2010",Suppressed,271732,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2011","2011",0,268377,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2012","2012",Suppressed,266103,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2013","2013",0,268894,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2014","2014",Suppressed,271280,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2015","2015",0,273258,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 4: West North Central","CENS-D4","2016","2016",Suppressed,272306,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2017","2017",Suppressed,269465,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2018","2018",Suppressed,264274,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2019","2019",Suppressed,259226,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 4: West North Central","CENS-D4","2020","2020",Suppressed,257524,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","1999","1999",Suppressed,669179,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2000","2000",0,671905,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2001","2001",Suppressed,724253,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2002","2002",Suppressed,716111,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2003","2003",Suppressed,716943,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2004","2004",Suppressed,731790,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2005","2005",Suppressed,742109,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2006","2006",0,759579,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2007","2007",Suppressed,782421,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2008","2008",0,776862,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2009","2009",Suppressed,744458,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2010","2010",Suppressed,734073,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2011","2011",Suppressed,743889,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2012","2012",Suppressed,735542,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2013","2013",Suppressed,741146,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2014","2014",Suppressed,738723,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2015","2015",Suppressed,746923,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2016","2016",Suppressed,748556,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2017","2017",Suppressed,746832,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2018","2018",Suppressed,731964,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2019","2019",Suppressed,729332,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 5: South Atlantic","CENS-D5","2020","2020",Suppressed,723735,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","1999","1999",0,227378,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 6: East South Central","CENS-D6","2000","2000",Suppressed,228601,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2001","2001",0,237526,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 6: East South Central","CENS-D6","2002","2002",Suppressed,229445,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2003","2003",0,229798,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 6: East South Central","CENS-D6","2004","2004",Suppressed,233576,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2005","2005",Suppressed,234399,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2006","2006",Suppressed,239232,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2007","2007",Suppressed,248912,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2008","2008",0,250750,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 6: East South Central","CENS-D6","2009","2009",Suppressed,239745,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2010","2010",Suppressed,234521,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2011","2011",0,235078,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 6: East South Central","CENS-D6","2012","2012",0,234430,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 6: East South Central","CENS-D6","2013","2013",Suppressed,231051,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2014","2014",Suppressed,230307,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2015","2015",Suppressed,232303,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2016","2016",0,231409,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 6: East South Central","CENS-D6","2017","2017",Suppressed,230302,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2018","2018",Suppressed,225148,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2019","2019",Suppressed,225348,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 6: East South Central","CENS-D6","2020","2020",Suppressed,224067,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","1999","1999",Suppressed,479864,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2000","2000",0,478460,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 7: West South Central","CENS-D7","2001","2001",Suppressed,512051,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2002","2002",Suppressed,512651,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2003","2003",Suppressed,516474,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2004","2004",Suppressed,521168,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2005","2005",Suppressed,524933,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2006","2006",0,522194,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 7: West South Central","CENS-D7","2007","2007",0,543905,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 7: West South Central","CENS-D7","2008","2008",Suppressed,550610,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2009","2009",Suppressed,541188,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2010","2010",Suppressed,532079,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2011","2011",Suppressed,552340,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2012","2012",Suppressed,537765,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2013","2013",Suppressed,534101,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2014","2014",Suppressed,539800,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2015","2015",0,553114,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 7: West South Central","CENS-D7","2016","2016",Suppressed,558425,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2017","2017",Suppressed,555661,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2018","2018",Suppressed,537674,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 7: West South Central","CENS-D7","2019","2019",0,520613,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 7: West South Central","CENS-D7","2020","2020",Suppressed,518863,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","1999","1999",0,273428,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 8: Mountain","CENS-D8","2000","2000",Suppressed,274792,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2001","2001",0,293910,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 8: Mountain","CENS-D8","2002","2002",Suppressed,295806,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2003","2003",Suppressed,301033,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2004","2004",Suppressed,306632,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2005","2005",Suppressed,313659,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2006","2006",Suppressed,321495,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2007","2007",Suppressed,331835,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2008","2008",Suppressed,327699,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2009","2009",Suppressed,316639,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2010","2010",0,315063,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 8: Mountain","CENS-D8","2011","2011",Suppressed,312294,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2012","2012",Suppressed,308501,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2013","2013",Suppressed,305131,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2014","2014",Suppressed,307396,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2015","2015",0,309654,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 8: Mountain","CENS-D8","2016","2016",Suppressed,311638,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2017","2017",Suppressed,308903,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2018","2018",0,300557,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 8: Mountain","CENS-D8","2019","2019",Suppressed,294108,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 8: Mountain","CENS-D8","2020","2020",Suppressed,289431,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","1999","1999",Suppressed,631690,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2000","2000",Suppressed,629897,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2001","2001",0,677374,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2002","2002",0,664991,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2003","2003",Suppressed,673871,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2004","2004",0,674778,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2005","2005",0,677049,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2006","2006",Suppressed,679904,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2007","2007",Suppressed,693663,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2008","2008",0,695688,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2009","2009",Suppressed,665319,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2010","2010",Suppressed,655708,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2011","2011",Suppressed,669667,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2012","2012",Suppressed,672462,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2013","2013",0,664680,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2014","2014",0,667048,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2015","2015",Suppressed,667453,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2016","2016",0,666269,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2017","2017",Suppressed,654624,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2018","2018",0,641130,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 9: Pacific","CENS-D9","2019","2019",Suppressed,620774,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 9: Pacific","CENS-D9","2020","2020",Suppressed,601313,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","1999","1999",0,700246,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2000","2000",Suppressed,698142,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2001","2001",0,687743,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2002","2002",0,684198,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2003","2003",0,679878,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2004","2004",Suppressed,673746,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2005","2005",0,667891,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2006","2006",0,657795,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2007","2007",Suppressed,651411,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2008","2008",0,649622,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2009","2009",0,647307,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2010","2010",0,645372,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2011","2011",0,631915,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2012","2012",0,626551,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2013","2013",Suppressed,619894,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2014","2014",Suppressed,617884,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2015","2015",0,616707,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2016","2016",Suppressed,611128,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2017","2017",Suppressed,609158,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2018","2018",Suppressed,608976,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 1: New England","CENS-D1","2019","2019",0,604194,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Division 1: New England","CENS-D1","2020","2020",Suppressed,596777,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Division 2: Middle Atlantic","CENS-D2","1999","1999",0,2046544,Unreliable,0.0,0.0,0.0
