Census Division Code,Sex Code,Age Group Code,Month Code,Deaths
CENS-D1,F,5-9,1999/07,0
CENS-D1,F,5-9,1999/08,0
CENS-D1,F,5-9,1999/09,0
CENS-D1,F,5-9,1999/10,0
CENS-D1,F,5-9,1999/11,0
CENS-D1,F,5-9,1999/12,0
CENS-D1,F,5-9,2000/01,0
CENS-D1,F,5-9,2000/02,0
CENS-D1,F,5-9,2000/03,0
CENS-D1,F,5-9,2000/04,0
CENS-D1,F,5-9,2000/05,0
CENS-D1,F,5-9,2000/06,0
CENS-D1,F,5-9,2000/07,0
CENS-D1,F,5-9,2000/08,Suppressed
CENS-D1,F,5-9,2000/09,0
CENS-D1,F,5-9,2000/10,0
CENS-D1,F,5-9,2000/11,0
CENS-D1,F,5-9,2000/12,0
CENS-D1,F,5-9,2001/01,0
CENS-D1,F,5-9,2001/02,0
CENS-D1,F,5-9,2001/03,0
CENS-D1,F,5-9,2001/04,0
CENS-D1,F,5-9,2001/05,0
CENS-D1,F,5-9,2001/06,0
CENS-D1,F,5-9,2001/07,0
CENS-D1,F,5-9,2001/08,0
CENS-D1,F,5-9,2001/09,0
CENS-D1,F,5-9,2001/10,0
CENS-D1,F,5-9,2001/11,0
CENS-D1,F,5-9,2001/12,0
CENS-D1,F,5-9,2002/01,0
CENS-D1,F,5-9,2002/02,0
CENS-D1,F,5-9,2002/03,0
CENS-D1,F,5-9,2002/04,0
CENS-D1,F,5-9,2002/05,0
CENS-D1,F,5-9,2002/06,0
CENS-D1,F,5-9,2002/07,0
CENS-D1,F,5-9,2002/08,0
CENS-D1,F,5-9,2002/09,0
CENS-D1,F,5-9,2002/10,0
CENS-D1,F,5-9,2002/11,0
CENS-D1,F,5-9,2002/12,0
CENS-D1,F,5-9,2003/01,0
CENS-D1,F,5-9,2003/02,0
CENS-D1,F,5-9,2003/03,0
CENS-D1,F,5-9,2003/04,0
CENS-D1,F,5-9,2003/05,0
CENS-D1,F,5-9,2003/06,0
CENS-D1,F,5-9,2003/07,0
CENS-D1,F,5-9,2003/08,0
CENS-D1,F,5-9,2003/09,0
CENS-D1,F,5-9,2003/10,0
CENS-D1,F,5-9,2003/11,0
CENS-D1,F,5-9,2003/12,0
CENS-D1,F,5-9,2004/01,0
CENS-D1,F,5-9,2004/02,0
CENS-D1,F,5-9,2004/03,0
CENS-D1,F,5-9,2004/04,0
CENS-D1,F,5-9,2004/05,0
CENS-D1,F,5-9,2004/06,0
CENS-D1,F,5-9,2004/07,0
CENS-D1,F,5-9,2004/08,0
CENS-D1,F,5-9,2004/09,0
CENS-D1,F,5-9,2004/10,0
CENS-D1,F,5-9,2004/11,0
CENS-D1,F,5-9,2004/12,0
CENS-D1,F,5-9,2005/01,0
CENS-D1,F,5-9,2005/02,0
CENS-D1,F,5-9,2005/03,0
CENS-D1,F,5-9,2005/04,0
CENS-D1,F,5-9,2005/05,0
CENS-D1,F,5-9,2005/06,0
CENS-D1,F,5-9,2005/07,0
CENS-D1,F,5-9,2005/08,0
CENS-D1,F,5-9,2005/09,0
CENS-D1,F,5-9,2005/10,0
CENS-D1,F,5-9,2005/11,0
CENS-D1,F,5-9,2005/12,0
CENS-D1,F,5-9,2006/01,0
CENS-D1,F,5-9,2006/02,0
CENS-D1,F,5-9,2006/03,0
CENS-D1,F,5-9,2006/04,0
CENS-D1,F,5-9,2006/05,0
CENS-D1,F,5-9,2006/06,0
CENS-D1,F,5-9,2006/07,0
CENS-D1,F,5-9,2006/08,0
CENS-D1,F,5-9,2006/09,0
CENS-D1,F,5-9,2006/10,0
CENS-D1,F,5-9,2006/11,0
CENS-D1,F,5-9,2006/12,0
CENS-D1,F,5-9,2007/01,0
CENS-D1,F,5-9,2007/02,0
CENS-D1,F,5-9,2007/03,0
CENS-D1,F,5-9,2007/04,0
CENS-D1,F,5-9,2007/05,0
CENS-D1,F,5-9,2007/06,0
CENS-D1,F,5-9,2007/07,0
CENS-D1,F,5-9,2007/08,0
CENS-D1,F,5-9,2007/09,0
CENS-D1,F,5-9,2007/10,0
CENS-D1,F,5-9,2007/11,0
CENS-D1,F,5-9,2007/12,0
CENS-D1,F,5-9,2008/01,0
CENS-D1,F,5-9,2008/02,0
CENS-D1,F,5-9,2008/03,0
CENS-D1,F,5-9,2008/04,0
CENS-D1,F,5-9,2008/05,0
CENS-D1,F,5-9,2008/06,0
CENS-D1,F,5-9,2008/07,0
CENS-D1,F,5-9,2008/08,0
CENS-D1,F,5-9,2008/09,0
CENS-D1,F,5-9,2008/10,Suppressed
CENS-D1,F,5-9,2008/11,0
CENS-D1,F,5-9,2008/12,0
CENS-D1,F,5-9,2009/01,0
CENS-D1,F,5-9,2009/02,0
CENS-D1,F,5-9,2009/03,0
CENS-D1,F,5-9,2009/04,0
CENS-D1,F,5-9,2009/05,0
CENS-D1,F,5-9,2009/06,0
CENS-D1,F,5-9,2009/07,0
CENS-D1,F,5-9,2009/08,0
CENS-D1,F,5-9,2009/09,0
CENS-D1,F,5-9,2009/10,0
CENS-D1,F,5-9,2009/11,0
CENS-D1,F,5-9,2009/12,0
CENS-D1,F,5-9,2010/01,0
CENS-D1,F,5-9,2010/02,0
CENS-D1,F,5-9,2010/03,0
CENS-D1,F,5-9,2010/04,0
CENS-D1,F,5-9,2010/05,0
CENS-D1,F,5-9,2010/06,0
CENS-D1,F,5-9,2010/07,0
CENS-D1,F,5-9,2010/08,0
CENS-D1,F,5-9,2010/09,0
CENS-D1,F,5-9,2010/10,0
CENS-D1,F,5-9,2010/11,0
CENS-D1,F,5-9,2010/12,0
CENS-D1,F,5-9,2011/01,0
CENS-D1,F,5-9,2011/02,0
CENS-D1,F,5-9,2011/03,0
CENS-D1,F,5-9,2011/04,0
CENS-D1,F,5-9,2011/05,0
CENS-D1,F,5-9,2011/06,0
CENS-D1,F,5-9,2011/07,0
CENS-D1,F,5-9,2011/08,0
CENS-D1,F,5-9,2011/09,0
CENS-D1,F,5-9,2011/10,0
CENS-D1,F,5-9,2011/11,0
CENS-D1,F,5-9,2011/12,0
CENS-D1,F,5-9,2012/01,0
CENS-D1,F,5-9,2012/02,0
CENS-D1,F,5-9,2012/03,0
CENS-D1,F,5-9,2012/04,0
CENS-D1,F,5-9,2012/05,0
CENS-D1,F,5-9,2012/06,0
CENS-D1,F,5-9,2012/07,0
CENS-D1,F,5-9,2012/08,0
CENS-D1,F,5-9,2012/09,0
CENS-D1,F,5-9,2012/10,0
CENS-D1,F,5-9,2012/11,0
